ID nummer;Naam;Begin vers;Eind vers
0;De Schepping van hemel en aarde;Genesis 1:1;Genesis 2:4
1;De Tuin van Eden;Genesis 2:5;Genesis 3:24
2;Adams zonen;Genesis 4:1;Genesis 4:26
3;Van Adam tot Noach;Genesis 5:1;Genesis 5:32
4;Vermenging van goden en mensen;Genesis 6:1;Genesis 6:4
5;Noach;Genesis 6:5;Genesis 9:28
6;Nakomelingen van Noachs zonen;Genesis 10:1;Genesis 10:32
7;Babel;Genesis 11:1;Genesis 11:9
8;Van Sem tot Abram;Genesis 11:10;Genesis 11:26
9;Terach;Genesis 11:27;Genesis 11:32
10;Abram naar Kanaän;Genesis 12:1;Genesis 12:9
11;Abram en Sarai in Egypte;Genesis 12:10;Genesis 13:1
12;Scheiding tussen Abram en Lot;Genesis 13:2;Genesis 13:18
13;Lot door Abram bevrijd;Genesis 14:1;Genesis 14:24
14;Abrams vision;Genesis 15:1;Genesis 15:21
15;De geboorte van Ismaël;Genesis 16:1;Genesis 16:16
16;Verbond tussen God en Abram;Genesis 17:1;Genesis 17:27
17;Sodom en Gomorra;Genesis 18:1;Genesis 19:38
18;Abraham en Sara bij Abimelech;Genesis 20:1;Genesis 20:18
19;Isaak en Ismaël;Genesis 21:1;Genesis 21:21
20;Bondgenootschap met Abimelech;Genesis 21:22;Genesis 21:34
21;Abraham op de proef gesteld;Genesis 22:1;Genesis 22:19
22;Nakomelingen van Nachor;Genesis 22:20;Genesis 22:24
23;Koop van een familiegraf;Genesis 23:1;Genesis 23:20
24;Een vrouw voor Isaak;Genesis 24:1;Genesis 24:67
25;Abraham levenseinde;Genesis 25:1;Genesis 25:11
26;Nakomelingen van Ismaël;Genesis 25:12;Genesis 25:18
27;Jakob en Esau;Genesis 25:19;Genesis 25:34
28;Isaak en Rebekka in Gerar;Genesis 26:1;Genesis 26:33
29;Jakob ontneem Esau de zegen;Genesis 26:24;Genesis 28:9
30;Jakobs droom in Betel;Genesis 28:10;Genesis 28:22
31;Jakob bij Laban;Genesis 29:1;Genesis 32:1
32;Jakob oog in oog met Esau;Genesis 32:2;Genesis 33:17
33;Dina en Sichem;Genesis 33:18;Genesis 34:31
34;Jakob opnieuw in Beter;Genesis 35:1;Genesis 35:29
35;Nakomelingen van Esau;Genesis 36:1;Genesis 36:43
36;Jozef verkocht en naar Egypte gebracht;Genesis 37:1;Genesis 37:36
37;Juda en Tamar;Genesis 38:1;Genesis 38:30
38;Jozef en de vrouw van Potifar;Genesis 39:1;Genesis 40:23
