[PARENT_NAME] (PARENT_ID) -> [CHILD_NAME] (PEOPLE_ID)
[God] (1) -> [Adam] (2)
[God] (1) -> [Eva] (3)
[God] (1) -> [Slang] (4)
[God] (1) -> [Cherubs] (5)
[Adam] (2) -> [Kaïn] (6)
[Eva] (3) -> [Kaïn] (6)
[Adam] (2) -> [Abel] (7)
[Eva] (3) -> [Abel] (7)
[Kaïn] (6) -> [Henoch] (8)
[Henoch] (8) -> [Irad] (9)
[Irad] (9) -> [Mechujaël] (10)
[Mechujaël] (10) -> [Metusaël] (11)
[Metusaël] (11) -> [Lamech] (12)
[Lamech] (12) -> [Jabal] (15)
[Ada] (13) -> [Jabal] (15)
[Lamech] (12) -> [Jubal] (16)
[Ada] (13) -> [Jubal] (16)
[Lamech] (12) -> [Tubal-Kaïn] (17)
[Silla] (14) -> [Tubal-Kaïn] (17)
[Lamech] (12) -> [Naäma] (18)
[Jabal] (15) -> [Naäma] (18)
[Adam] (2) -> [Set] (19)
[Eva] (3) -> [Set] (19)
[Set] (19) -> [Enos] (20)
[Enos] (20) -> [Kenan] (21)
[Kenan] (21) -> [Mahalalel] (22)
[Mahalalel] (22) -> [Jered] (23)
[Jered] (23) -> [Henoch] (24)
[Henoch] (24) -> [Metuselach] (25)
[Metuselach] (25) -> [Lamech] (26)
[Lamech] (26) -> [Noach] (27)
[Noach] (27) -> [Sem] (28)
[Noach] (27) -> [Cham] (29)
[Noach] (27) -> [Jafet] (30)
[Cham] (29) -> [Kanaän] (31)
[Jafet] (30) -> [Gomer] (32)
[Jafet] (30) -> [Magog] (33)
[Jafet] (30) -> [Madai] (34)
[Jafet] (30) -> [Jawan] (35)
[Jafet] (30) -> [Tubal] (36)
[Jafet] (30) -> [Mesech] (37)
[Jafet] (30) -> [Tiras] (38)
[Gomer] (32) -> [Askenaz] (39)
[Gomer] (32) -> [Rifat] (40)
[Gomer] (32) -> [Togarma] (41)
[Jawan] (35) -> [Elisa] (42)
[Jawan] (35) -> [Tarsis] (43)
[Jawan] (35) -> [Kittiërs] (44)
[Jawan] (35) -> [Dodanieten] (45)
[Cham] (29) -> [Kus] (46)
[Cham] (29) -> [Misraïm] (47)
[Cham] (29) -> [Put] (48)
[Kus] (46) -> [Saba] (49)
[Kus] (46) -> [Chawila] (50)
[Kus] (46) -> [Sabta] (51)
[Kus] (46) -> [Rama] (52)
[Kus] (46) -> [Sabtecha] (53)
[Rama] (52) -> [Seba] (54)
[Rama] (52) -> [Dedan] (55)
[Kus] (46) -> [Nimrod] (56)
[Misraïm] (47) -> [Ludieten] (57)
[Misraïm] (47) -> [Anamieten] (58)
[Misraïm] (47) -> [Lehabieten] (59)
[Misraïm] (47) -> [Naftuchieten] (60)
[Misraïm] (47) -> [Patrusieten] (61)
[Misraïm] (47) -> [Kasluchieten] (62)
[Misraïm] (47) -> [Filistijnen] (63)
[Misraïm] (47) -> [Kretenzers] (64)
[Kanaän] (31) -> [Sidon] (65)
[Kanaän] (31) -> [Chet] (66)
[Kanaän] (31) -> [Jebusieten] (67)
[Kanaän] (31) -> [Amorieten] (68)
[Kanaän] (31) -> [Girgasieten] (69)
[Kanaän] (31) -> [Chiwwieten] (70)
[Kanaän] (31) -> [Arkieten] (71)
[Kanaän] (31) -> [Sinieten] (72)
[Kanaän] (31) -> [Arwadieten] (73)
[Kanaän] (31) -> [Semarieten] (74)
[Kanaän] (31) -> [Hamatieten] (75)
[Selach] (86) -> [Eber] (76)
[Sem] (28) -> [Elam] (77)
[Sem] (28) -> [Assur] (78)
[Sem] (28) -> [Arpachsad] (79)
[Sem] (28) -> [Lud] (80)
[Sem] (28) -> [Aram] (81)
[Aram] (81) -> [Us] (82)
[Aram] (81) -> [Chul] (83)
[Aram] (81) -> [Geter] (84)
[Aram] (81) -> [Mas] (85)
[Arpachsad] (79) -> [Selach] (86)
[Eber] (76) -> [Peleg] (87)
[Eber] (76) -> [Joktan] (88)
[Joktan] (88) -> [Almodad] (89)
[Joktan] (88) -> [Selef] (90)
[Joktan] (88) -> [Chasarmawet] (91)
[Joktan] (88) -> [Jerach] (92)
[Joktan] (88) -> [Hadoram] (93)
[Joktan] (88) -> [Uzal] (94)
[Joktan] (88) -> [Dikla] (95)
[Joktan] (88) -> [Obal] (96)
[Joktan] (88) -> [Abimaël] (97)
[Joktan] (88) -> [Seba] (98)
[Joktan] (88) -> [Ofir] (99)
[Joktan] (88) -> [Chawila] (100)
[Joktan] (88) -> [Jobab] (101)
[Peleg] (87) -> [Reü] (102)
[Reü] (102) -> [Serug] (103)
[Serug] (103) -> [Nachor] (104)
[Nachor] (104) -> [Terach] (105)
[Terach] (105) -> [Abram] (106)
[Terach] (105) -> [Nachor] (107)
[Terach] (105) -> [Haran] (108)
[Haran] (108) -> [Lot] (109)
[Haran] (108) -> [Milka] (112)
[Haran] (108) -> [Jiska] (113)
[Abram] (106) -> [Ismaël] (141)
[Hagar] (140) -> [Ismaël] (141)
[Abram] (106) -> [Isaak] (142)
[Sarai] (111) -> [Isaak] (142)
[Lot] (109) -> [Moab] (143)
[Lot] (109) -> [Ben-Ammi] (144)
[Nachor] (107) -> [Us] (147)
[Milka] (112) -> [Us] (147)
[Nachor] (107) -> [Buz] (148)
[Milka] (112) -> [Buz] (148)
[Nachor] (107) -> [Kemuël] (149)
[Milka] (112) -> [Kemuël] (149)
[Kemuël] (149) -> [Aram] (150)
[Nachor] (107) -> [Kesed] (151)
[Milka] (112) -> [Kesed] (151)
[Nachor] (107) -> [Chazo] (152)
[Milka] (112) -> [Chazo] (152)
[Nachor] (107) -> [Pildas] (153)
[Milka] (112) -> [Pildas] (153)
[Nachor] (107) -> [Jidlaf] (154)
[Milka] (112) -> [Jidlaf] (154)
[Nachor] (107) -> [Betuël] (155)
[Milka] (112) -> [Betuël] (155)
[Betuël] (155) -> [Rekebba] (156)
[Nachor] (107) -> [Tebach] (158)
[Reüma] (157) -> [Tebach] (158)
[Nachor] (107) -> [Gacham] (159)
[Reüma] (157) -> [Gacham] (159)
[Nachor] (107) -> [Tachas] (160)
[Reüma] (157) -> [Tachas] (160)
[Nachor] (107) -> [Maächa] (161)
[Reüma] (157) -> [Maächa] (161)
[Sochar] (163) -> [Efron] (162)
[Betuël] (155) -> [Laban] (164)
[Abram] (106) -> [Zimran] (166)
[Ketura] (165) -> [Zimran] (166)
[Abram] (106) -> [Joksan] (167)
[Ketura] (165) -> [Joksan] (167)
[Abram] (106) -> [Medan] (168)
[Ketura] (165) -> [Medan] (168)
[Abram] (106) -> [Midjan] (169)
[Ketura] (165) -> [Midjan] (169)
[Abram] (106) -> [Jiskan] (170)
[Ketura] (165) -> [Jiskan] (170)
[Abram] (106) -> [Suach] (171)
[Ketura] (165) -> [Suach] (171)
[Joksan] (167) -> [Seba] (172)
[Joksan] (167) -> [Dedan] (173)
[Dedan] (173) -> [Assurieten] (174)
[Dedan] (173) -> [Letusieten] (175)
[Dedan] (173) -> [Leümieten] (176)
[Midjan] (169) -> [Efa] (177)
[Midjan] (169) -> [Efer] (178)
[Midjan] (169) -> [Chanoch] (179)
[Midjan] (169) -> [Abida] (180)
[Midjan] (169) -> [Eldaä] (181)
[Ismaël] (141) -> [Nebajot] (182)
[Ismaël] (141) -> [Kedar] (183)
[Ismaël] (141) -> [Adbeël] (184)
[Ismaël] (141) -> [Mibsam] (185)
[Ismaël] (141) -> [Misma] (186)
[Ismaël] (141) -> [Duma] (187)
[Ismaël] (141) -> [Massa] (188)
[Ismaël] (141) -> [Chadad] (189)
[Ismaël] (141) -> [Tema] (190)
[Ismaël] (141) -> [Jetur] (191)
[Ismaël] (141) -> [Nafis] (192)
[Ismaël] (141) -> [Kedema] (193)
[Isaak] (142) -> [Esau] (194)
[Rekebba] (156) -> [Esau] (194)
[Isaak] (142) -> [Jakob] (195)
[Rekebba] (156) -> [Jakob] (195)
[Beëri] (198) -> [Jehudit] (197)
[Elon] (200) -> [Basemat] (199)
[Ismaël] (141) -> [Machalat] (201)
[Laban] (164) -> [Rachel] (202)
[Laban] (164) -> [Lea] (203)
[Jakob] (195) -> [Ruben] (205)
[Lea] (203) -> [Ruben] (205)
[Jakob] (195) -> [Simeon] (206)
[Lea] (203) -> [Simeon] (206)
[Jakob] (195) -> [Levi] (207)
[Lea] (203) -> [Levi] (207)
[Jakob] (195) -> [Juda] (208)
[Lea] (203) -> [Juda] (208)
[Jakob] (195) -> [Dan] (210)
[Bilha] (209) -> [Dan] (210)
[Jakob] (195) -> [Naftali] (211)
[Bilha] (209) -> [Naftali] (211)
[Jakob] (195) -> [Gad] (212)
[Zilpa] (204) -> [Gad] (212)
[Jakob] (195) -> [Aser] (213)
[Zilpa] (204) -> [Aser] (213)
[Jakob] (195) -> [Issachar] (214)
[Lea] (203) -> [Issachar] (214)
[Jakob] (195) -> [Zebulon] (215)
[Lea] (203) -> [Zebulon] (215)
[Jakob] (195) -> [Dina] (216)
[Lea] (203) -> [Dina] (216)
[Jakob] (195) -> [Jozef] (217)
[Rachel] (202) -> [Jozef] (217)
[Isaak] (142) -> [Israël] (218)
[Rekebba] (156) -> [Israël] (218)
[Chamor] (219) -> [Sichem] (220)
[Rekebba] (156) -> [Ben-Oni] (222)
